building_start_year,district,estate,house_id,housing_area,housing_status,metro,orientation,price,rental_mode,rooms,shi,ting,title,total_floor,wei,zone
2012,西湖区,金地自在城,1.03103E+11,89,暂无数据,暂无数据,南 北,4800,暂无数据,3室2厅1卫,3,2,金地自在城 3室2厅 4800元,26,1,三墩
2009,西湖区,西溪蝶园一期,1.03103E+11,191.21,目前自住,暂无数据,南 北,14500,整租,4室1厅3卫  整租,4,1,西溪蝶园一期，西溪银泰旁，万科物业，拎包入住,12,3,西溪
板楼,下城区,河西南38号,1.03103E+11,80,目前闲置,距地铁1号线(临平-湘湖)西湖文化广场1101米,南,3800,整租,2室1厅1卫  整租,2,1,施家花园旁 沿河景观 双卧朝南西边套 房里干净清爽,5,1,流水苑
2013,西湖区,中海西溪华府,1.03103E+11,87,目前闲置,暂无数据,南 北,5500,整租,3室1厅1卫  整租,3,1,中海西溪华府，87平，三室一厅一厨一卫，5500元月,10,1,西溪
1985,下城区,朝晖三区,1.03103E+11,61.09,暂无数据,距地铁1号线(临平-湘湖)西湖文化广场564米,南,4200,暂无数据,2室1厅1卫,2,1,朝晖三区 2室1厅 4200元,7,1,朝晖
2012,西湖区,西溪蝶园二期,1.03103E+11,172,目前闲置,暂无数据,南 北,12000,整租,3室2厅2卫  整租,3,2,万科西溪蝶园好房房东   诚心出租,13,2,西溪
1989,下城区,杭氧宿舍,1.03103E+11,61.6,目前闲置,暂无数据,南,3200,整租,2室1厅1卫  整租,2,1,杭氧宿舍干净清爽装修，可拎包入住,7,1,德胜东
2010,西湖区,坤和西溪里,1.03103E+11,137,目前闲置,暂无数据,南,6500,整租,3室2厅2卫  整租,3,2,坤和西溪里大三房带车位！！！！,15,2,西溪
1989,下城区,杭锅新村,1.03103E+11,49.5,目前闲置,暂无数据,南,3700,整租,2室1厅1卫  整租,2,1,杭锅新村新上可拎包入住，带个大院子房子,4,1,德胜东
2009,西湖区,西溪蝶园一期,1.03103E+11,186.72,目前闲置,暂无数据,南 北,11000,整租,4室2厅3卫  整租,4,2,西溪蝶园一期，西溪银泰旁，万科物业，拎包入住,6,3,西溪
2010,下城区,现代景苑,1.03103E+11,86.12,目前闲置,暂无数据,南,6000,整租,2室1厅1卫  整租,2,1,现代景苑 2室1厅 6000元,22,1,和平
2012,西湖区,西溪蝶园二期,1.03103E+11,175,目前闲置,暂无数据,南 北,12000,整租,3室2厅2卫  整租,3,2,万科西溪蝶园开发商精装修诚心出租,14,2,西溪
1989,下城区,杭锅新村,1.03103E+11,75.08,目前闲置,暂无数据,南,3900,整租,3室1厅1卫  整租,3,1,杭锅新村 3室1厅 3900元,4,1,德胜东
2009,西湖区,西溪蝶园一期,1.03103E+11,190,目前出租,暂无数据,南,13000,整租,4室2厅3卫  整租,4,2,带车位带车位！西溪蝶园一期精装大4房3卫，西溪银泰旁,12,3,西溪
2000,下城区,仙林苑,1.03103E+11,60,暂无数据,距地铁2号线中河北路689米,南,4800,暂无数据,2室1厅1卫,2,1,仙林苑 2室1厅 4800元,8,1,众安桥
2009,西湖区,西溪蝶园一期,1.03103E+11,195.43,目前闲置,暂无数据,南,16700,整租,4室2厅3卫  整租,4,2,西溪蝶园一期，精装修，195平，四室两厅一厨三卫,6,3,西溪
1998,下城区,六塘公寓,1.03104E+11,58,暂无数据,暂无数据,南 北,3800,暂无数据,2室1厅1卫,2,1,六塘公寓 2室1厅 3800元,7,1,三塘
2016,西湖区,融创河滨之城,1.03103E+11,89.52,目前闲置,暂无数据,南,6800,整租,3室2厅1卫  整租,3,2,融创河滨之城品质好 小区环境绿化高 近阿里巴巴,18,1,西溪
1999,下城区,流水苑,1.03103E+11,38,暂无数据,距地铁1号线(临平-湘湖)打铁关1194米,南 北,3000,暂无数据,1室1厅1卫,1,1,流水苑 1室1厅 3000元,7,1,流水苑
2007,西湖区,嘉绿景苑东园,1.03104E+11,73,暂无数据,暂无数据,南,5000,暂无数据,2室2厅1卫,2,2,嘉绿景苑东园 2室2厅 5000元,15,1,文三西路
2008,西湖区,坤和西溪里,1.03103E+11,137.56,目前闲置,暂无数据,南 北,8200,整租,4室2厅2卫  整租,4,2,西溪里简装4房，近西溪首座 西溪银泰城 阿里巴巴,15,2,西溪
1980,下城区,重机宿舍,1.03104E+11,65,暂无数据,暂无数据,南 北,3500,暂无数据,2室1厅1卫,2,1,重机宿舍 2室1厅 3500元,4,1,三塘
2008,西湖区,枫华府第,1.03104E+11,46,暂无数据,距地铁2号线学院路114米,南,4300,暂无数据,1室0厅1卫,1,0,枫华府第 1室0厅 4300元,25,1,翠苑
2012,西湖区,西溪蝶园二期,1.03102E+11,153.76,目前闲置,暂无数据,南,8500,整租,3室2厅2卫  整租,3,2,西溪蝶园二期 3室2厅 8500元,16,2,西溪
2011,下城区,万家星城,1.03104E+11,80,暂无数据,暂无数据,南 北,4500,暂无数据,2室2厅1卫,2,2,万家星城 2室2厅 4500元,20,1,三塘
1996,西湖区,金源公寓(西湖),1.03103E+11,76,目前出租,距地铁2号线三墩1041米,南 北,3300,整租,2室1厅1卫  整租,2,1,低楼层的                               大两房,6,1,三墩
2013,西湖区,中海西溪华府,1.03103E+11,88.86,目前闲置,暂无数据,南,4800,整租,2室1厅1卫  整租,2,1,中海西溪华府 2室1厅 4800元,11,1,西溪
2014,西湖区,坤和和家园,1.03102E+11,89,目前闲置,暂无数据,南 北,4200,整租,2室2厅1卫  整租,2,2,坤和和家园 2室2厅 4200元,10,1,西溪
2003,下城区,东河春晓,1.03103E+11,149,目前闲置,距地铁2号线建国北路853米,南,8000,整租,3室2厅2卫  整租,3,2,The Firt出租，中装大三房，等一户好人嫁,13,2,建国北路
1996,西湖区,桃源春居,1.03103E+11,64.35,目前出租,距地铁2号线古翠路1158米,南 北,4000,整租,2室1厅1卫  整租,2,1,简装两房，南北通透，采光好，家电齐全,7,1,嘉绿
1983,西湖区,石灰桥新村,1.03103E+11,57,目前闲置,距地铁2号线下宁桥518米,南,4200,整租,2室1厅1卫  整租,2,1,石灰桥清爽两房 中间楼层 可领包入住 沈塘桥地铁口,5,1,文教
2017,西湖区,万科西庐,1.03103E+11,122.04,目前出租,暂无数据,南 北,11000,整租,4室2厅2卫  整租,4,2,万科西庐 4室2厅 11000元,4,2,西溪
2017,西湖区,万科坤和玉泉,1.03102E+11,67.95,目前闲置,暂无数据,南,4500,整租,2室1厅1卫  整租,2,1,万科坤和玉泉精装两房，户型方正,7,1,西溪
1995,西湖区,友谊新村,1.03103E+11,40.6,暂无数据,暂无数据,南 北,3800,暂无数据,1室1厅1卫,1,1,友谊新村 1室1厅 3800元,7,1,黄龙
2006,西湖区,绿城丁香公寓,1.03102E+11,65.14,目前闲置,暂无数据,北,6300,整租,1室1厅1卫  整租,1,1,精品单生公寓出租，看房很方便哦,16,1,黄龙
1986,下城区,朝晖六区,1.03103E+11,86,目前出租,距地铁1号线(临平-湘湖)打铁关842米,南 北,4900,整租,3室2厅1卫  整租,3,2,朝晖六小区大三房，拎包入住。。,6,1,朝晖
2011,西湖区,坤和和家园,1.03102E+11,88.66,目前出租,暂无数据,南,4000,整租,2室1厅1卫  整租,2,1,和家园两房拎包入住 黄龙和山万科玉泉好房出租,13,1,西溪
2008,西湖区,枫华府第,1.03103E+11,150.89,目前闲置,距地铁2号线学院路536米,南,11500,整租,3室2厅2卫  整租,3,2,枫华府第 3室2厅 11500元,25,2,翠苑
2004,西湖区,三墩颐景园,1.03103E+11,112,目前闲置,距地铁2号线墩祥街820米,南,4300,整租,2室2厅1卫  整租,2,2,三墩颐景园 大 2 房 宜  居  清               爽,14,1,三墩
2016,西湖区,融创河滨之城,1.03103E+11,89.04,目前闲置,暂无数据,南 北,9000,整租,2室2厅2卫  整租,2,2,河滨房东自住房源 近 阿里巴巴 浙大 西溪银泰,18,2,西溪
2011,西湖区,坤和和家园,1.03102E+11,130.05,目前闲置,暂无数据,南,8500,整租,3室2厅2卫  整租,3,2,西溪留下 坤和和家园 三室套房 诚心出租,12,2,西溪
1999,西湖区,黄龙公寓,1.03103E+11,147,暂无数据,距地铁2号线丰潭路1036米,南,8000,暂无数据,4室2厅2卫,4,2,黄龙公寓 4室2厅 8000元,6,2,古荡
2008,西湖区,兰庭国际,1.03102E+11,131.57,目前闲置,距地铁2号线下宁桥188米,南,8500,整租,3室2厅2卫  整租,3,2,兰庭国际简装3房，房东诚心出租,15,2,文教
2012,西湖区,金地自在城,1.03103E+11,89.3,目前闲置,距地铁2号线金家渡1018米,南,4500,整租,3室1厅1卫  整租,3,1,金地自在城求学里三房，看房方便！！,26,1,三墩
2000,下城区,三塘樱园,1.03103E+11,93,目前闲置,暂无数据,南,4500,整租,3室2厅2卫  整租,3,2,三塘樱园精装3房拎包入住欢迎你来,6,2,三塘
1988,西湖区,求是村,1.03103E+11,80,目前闲置,暂无数据,南 北,5500,整租,3室1厅1卫  整租,3,1,求是黄龙 三房清爽装修 房东人好 价格还可谈 可宿舍,5,1,黄龙
2012,西湖区,坤和西溪里,1.03104E+11,127,暂无数据,暂无数据,南,6500,暂无数据,4室2厅2卫,4,2,坤和西溪里 4室2厅 6500元,15,2,西溪
2000,西湖区,嘉华公寓,1.03103E+11,108,目前闲置,距地铁2号线三墩342米,南,4000,整租,3室1厅1卫  整租,3,1,三墩 地铁口                           好  三 房,7,1,三墩
2017,西湖区,万科西庐,1.03103E+11,88.84,目前出租,暂无数据,南 北,6500,整租,3室2厅1卫  整租,3,2,万科西庐 3室2厅 6500元,15,1,西溪
