,total_time
江干区新城国际花园,77
江干区东都公寓,72
拱墅区假山路,33
下城区青云街,55
下沙区新沙家园,63
西湖区城市心境,60
上城区锅子弄,50
下城区水岸晶座,47
滨江区缤纷北苑,77
拱墅区永兴坊,44
下沙区盛泰时代山,103
西湖区高教新村,62
拱墅区百大花园,42
西湖区花园北村,41
滨江区倾城之恋花园,82
萧山区君悦丽景,99
余杭区永乐城,99
下城区西湖新城,42
滨江区中兴花园,90
下城区现代名苑,31
下城区十五家园,49
上城区叶家弄,49
拱墅区左家新村,37
下城区武林外滩,41
拱墅区方正荷塘月色,66
下城区青园,39
拱墅区长乐南苑,40
余杭区清水湾别墅,114
西湖区翠苑四区,50
江干区冠宇隽园,63
上城区滨江家园,72
下城区安吉路,48
拱墅区新月公寓,37
江干区景芳六区,54
江干区凯旋路104号,50
萧山区金地德圣中心,103
西湖区统计局宿舍,46
上城区袁井巷,63
下城区凤鸣苑,47
西湖区文一路,43
滨江区彩虹城,101
拱墅区芳满庭,66
西湖区阳光地带,65
滨江区国信嘉园,91
上城区美政花苑,68
西湖区九莲新村,49
上城区茶啾弄,65
西湖区莲花新村,52
余杭区爵士风情,104
下城区中山北路,40
江干区汇盛德堡公寓,62
西湖区爱尚里,95
西湖区紫金庭园,63
滨江区滨康小区,97
下城区体育场路142号,49
江干区庆春东路,53
余杭区亲亲家园一期,74
滨江区中兴和园,93
江干区锦江半岛,87
拱墅区星河明苑,40
西湖区古荡新村西区,46
下城区汇融公寓,37
滨江区水晶城,89
萧山区霞飞郡,87
江干区东港嘉苑,47
滨江区兴盛花园,82
西湖区下宁巷,43
江干区悦麒美寓,70
江干区多立方公寓,84
西湖区杭大路,54
下城区欣景苑,37
拱墅区沈塘铭苑,42
西湖区跑马场路,54
西湖区美都新村,51
滨江区通策广场,94
滨江区贺田尚城,102
下城区凤起都市花园,48
江干区钱塘航空大厦,69
余杭区华立和郡,97
西湖区物华小康居住区,55
上城区近江四园,64
下城区刀茅巷,45
西湖区文二路62号,41
下城区杭锅新村,38
下城区现代中心,33
上城区文华苑,63
萧山区春江悦茗公寓,79
拱墅区沈塘东村,39
上城区直箭道巷,64
余杭区君汇上品,81
下沙区锦湖家园,79
余杭区荷花小区,95
下城区稻香园南区,42
上城区紫花苑,73
拱墅区贾家弄新村,45
西湖区和家园,96
滨江区滨兴家园,90
江干区海棠公寓,76
滨江区滨安小区,71
西湖区西溪河滨之城,93
江干区蓝天城市花园,41
江干区东壹号,45
西湖区中海金溪园,73
滨江区水榭春天,80
