,total_time
余杭区闲湖城,59
江干区景芳二区,40
江干区九洲芳园,63
下城区麒麟街,31
西湖区西溪华府,45
下城区环西新村,30
余杭区合景叠彩园,68
西湖区恩济花苑,29
西湖区宝石山下二弄,36
拱墅区锦绣兰庭,48
下城区安吉路,34
上城区平安里,53
西湖区马塍路8号,25
上城区天福花园,56
江干区丁桥后珠美邻嘉苑,87
余杭区逸境公寓,65
上城区水岸城市花园,33
余杭区金都雅苑,55
下城区香源公寓,52
下城区柳营花园,36
滨江区滨安小区,53
江干区东方红街,43
余杭区河畔新村,90
萧山区金域三江,113
下沙区中外公寓,78
下城区德胜上郡华庭,64
上城区海月花园,74
拱墅区莫干新村,22
余杭区庭院深深,67
下城区灯塔豪园,43
江干区左邻右舍公寓,66
下城区方圆府,46
西湖区胜利新村,26
萧山区三江花园,98
下城区朝晖八区,45
余杭区临平红枫苑,98
拱墅区莫干山路526号,30
拱墅区广兴新村,37
上城区通江高层,54
下沙区东海未名园,77
拱墅区大关南九苑,32
上城区复兴南苑,64
江干区广茵大厦,40
余杭区绿城蓝庭,86
西湖区文一路,26
拱墅区湖墅新村,36
滨江区冠山小区,103
拱墅区运河天悦府,38
下城区施家桥,35
下城区中大银泰城,46
西湖区西荡苑,37
拱墅区胜月院,45
江干区三里亭苑三区,47
下城区莫衙营,83
下沙区晓城天地,78
萧山区莱茵传奇园,66
拱墅区袁家新苑,49
下城区茶叶弄,35
滨江区水晶湾城市雅苑,89
滨江区超级星期天公寓,86
西湖区天目山路20号,23
上城区紫金观巷,42
上城区丁衙巷,65
拱墅区永安坊,47
拱墅区九龙仓碧玺,45
江干区采荷一区,51
江干区长睦锦苑,80
西湖区山水人家,26
西湖区城市芯宇公寓,27
下城区杭氧宿舍,44
下城区领骏世界,36
余杭区北宸之光,66
上城区积善坊巷,36
拱墅区桃源新区,41
滨江区观邸国际寓所,88
西湖区金色蓝庭,31
江干区锦江半岛,70
下城区双牛大厦,25
江干区闸弄口铁路宿舍,43
西湖区美都新村,30
下城区水印康庭,48
西湖区枫华府第,20
西湖区御溪花苑,28
余杭区金地广场,44
余杭区西溪蓝海,55
下沙区盛泰名都中心,76
余杭区逸家花苑,77
江干区庆春东路,44
上城区西湖金座,41
上城区太和广场,62
西湖区文二路168号,19
上城区义井巷,38
萧山区盈一佳苑,62
上城区皮市巷,42
上城区直箭道巷,56
上城区金色城品,41
上城区勤远里,55
下城区朝晖三区,34
下城区横燕子弄,41
萧山区三江新村,104
西湖区师苑新村,20
下城区流水东苑,43
下城区现代景苑,46
上城区四牌楼,63
西湖区佳苑公寓,48
西湖区文二路62号,25
拱墅区左家新村,23
江干区天阳晴朗,81
拱墅区雍荣华庭,43
上城区民安苑,63
下城区田逸之星,69
萧山区金地天逸,70
江干区汇盛德堡公寓,74
江干区金雅苑,59
江干区锦润公寓,64
江干区钱江华府,58
拱墅区锦文雅苑,52
江干区中豪四季公馆,69
拱墅区富越香郡,47
下城区天安假日,27
江干区九月庭院,69
下城区财富中心酒店式公寓,80
江干区同方国际大厦,48
余杭区铭雅苑,47
上城区近江九园,66
江干区广利佳苑,44
拱墅区萍实公寓,41
上城区横河新村,52
西湖区金都新城,24
下城区皇亲苑,32
下城区建德村,34
西湖区国风美域,51
拱墅区世纪新筑,30
上城区南星公寓,60
拱墅区信义新村,34
江干区东茂苑,38
拱墅区莫干山路46号,30
上城区新工新村,66
滨江区六合天寓,72
下沙区荣辉商业中心,71
江干区万象城,99
上城区光复路,35
拱墅区名城燕园,48
上城区小河下,33
下城区朝晖六区,37
下城区西文东苑,47
下城区文晖园,28
滨江区世茂智慧之门,68
江干区昆盛肖邦,78
下城区国都公寓,35
拱墅区丽晶湾,44
西湖区文二新村,23
江干区杰立大厦,39
江干区静怡花园,60
上城区复兴北苑,60
上城区万安城市花园西苑,32
拱墅区三宝郡庭,39
下城区直戒坛寺巷,27
西湖区新星小区,54
余杭区蒙卡岸,64
拱墅区保利香槟国际,38
拱墅区小河路,43
上城区蓝色钱江,63
拱墅区景致公寓,45
滨江区国信嘉园,74
上城区叶家弄,27
江干区笕桥花苑,56
上城区滨江新苑,56
拱墅区万通中心公寓,32
江干区华家池,91
江干区丁桥景园南苑,66
上城区蕙宜村,34
西湖区莫干山路493号,34
江干区三里新城荷苑,45
拱墅区长乐北苑,32
余杭区星火小区,101
萧山区顺发恒园,106
